Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Duration,QC Name
Chengdu,PM2.5,01/01/12 12:00 AM,2012,1,1,0,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 01:00 AM,2012,1,1,1,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 02:00 AM,2012,1,1,2,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 03:00 AM,2012,1,1,3,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 04:00 AM,2012,1,1,4,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 05:00 AM,2012,1,1,5,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 06:00 AM,2012,1,1,6,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 07:00 AM,2012,1,1,7,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 08:00 AM,2012,1,1,8,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 09:00 AM,2012,1,1,9,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 10:00 AM,2012,1,1,10,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 11:00 AM,2012,1,1,11,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 12:00 PM,2012,1,1,12,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 01:00 PM,2012,1,1,13,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 02:00 PM,2012,1,1,14,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 03:00 PM,2012,1,1,15,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 04:00 PM,2012,1,1,16,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 05:00 PM,2012,1,1,17,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 06:00 PM,2012,1,1,18,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 07:00 PM,2012,1,1,19,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 08:00 PM,2012,1,1,20,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 09:00 PM,2012,1,1,21,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 10:00 PM,2012,1,1,22,-999,1 Hr,Missing
Chengdu,PM2.5,01/01/12 11:00 PM,2012,1,1,23,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 12:00 AM,2012,1,2,0,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 01:00 AM,2012,1,2,1,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 02:00 AM,2012,1,2,2,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 03:00 AM,2012,1,2,3,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 04:00 AM,2012,1,2,4,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 05:00 AM,2012,1,2,5,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 06:00 AM,2012,1,2,6,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 07:00 AM,2012,1,2,7,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 08:00 AM,2012,1,2,8,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 09:00 AM,2012,1,2,9,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 10:00 AM,2012,1,2,10,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 11:00 AM,2012,1,2,11,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 12:00 PM,2012,1,2,12,-999,1 Hr,Missing
Chengdu,PM2.5,01/02/12 01:00 PM,2012,1,2,13,-999,1 Hr,Missing
